timestamp,page,records_fetched,records_inserted,elapsed_sec
2025-05-11T11:21:44.515258,1,4000,4000,8.56
2025-05-11T11:21:53.235603,2,4000,4000,8.72
2025-05-11T11:22:01.853750,3,4000,4000,8.62
2025-05-11T11:22:10.665223,4,4000,4000,8.81
2025-05-11T11:22:19.350838,5,4000,4000,8.69
2025-05-11T11:22:28.469724,6,4000,4000,9.12
2025-05-11T11:22:37.234102,7,4000,4000,8.76
2025-05-11T11:22:46.189842,8,4000,4000,8.96
2025-05-11T11:22:54.933992,9,4000,4000,8.74
2025-05-11T11:23:03.754134,10,4000,4000,8.82
2025-05-11T11:23:12.706719,11,4000,4000,8.95
2025-05-11T11:23:21.569790,12,4000,4000,8.86
2025-05-11T11:23:30.474206,13,4000,4000,8.9
2025-05-11T11:23:39.066929,14,4000,4000,8.59
2025-05-11T11:23:47.812375,15,4000,4000,8.75
2025-05-11T11:23:56.768300,16,4000,4000,8.96
2025-05-11T11:24:06.173432,17,4000,4000,9.41
2025-05-11T11:24:14.971202,18,4000,4000,8.8
2025-05-11T11:24:23.878922,19,4000,4000,8.91
2025-05-11T11:24:32.743656,20,4000,4000,8.86
2025-05-11T11:24:41.417647,21,4000,4000,8.67
2025-05-11T11:24:50.359402,22,4000,4000,8.94
2025-05-11T11:24:59.243397,23,4000,4000,8.88
2025-05-11T11:25:08.285355,24,4000,4000,9.04
2025-05-11T11:25:17.419670,25,4000,4000,9.13
2025-05-11T11:25:26.508551,26,4000,4000,9.09
2025-05-11T11:25:35.356306,27,4000,4000,8.85
2025-05-11T11:25:44.243222,28,4000,4000,8.89
2025-05-11T11:25:53.123234,29,4000,4000,8.88
2025-05-11T11:26:01.998677,30,4000,4000,8.88
2025-05-11T11:26:11.166406,31,4000,4000,9.17
2025-05-11T11:26:20.121503,32,4000,4000,8.95
2025-05-11T11:26:29.481240,33,4000,4000,9.36
2025-05-11T11:26:38.508216,34,4000,4000,9.03
2025-05-11T11:26:47.736190,35,4000,4000,9.23
2025-05-11T11:26:56.518277,36,4000,4000,8.78
2025-05-11T11:27:05.411810,37,4000,4000,8.89
